PROVINCE_N,DISTRICT_N,DSD_N,GND_N,SALES_REGION,SALES_AREA
Southern,Hambantota,Walasmulla,Batagassa,Southern,Hambantota 2
Southern,Hambantota,Walasmulla,Pahalawatta,Southern,Hambantota 1
Southern,Hambantota,Katuwana,Hingurakanda,Southern,Hambantota 2
Southern,Hambantota,Katuwana,Gallindamulla,Southern,Hambantota 2
Southern,Matara,Thihagoda,Pahala Vitiyala West,Southern,Matara 1
Southern,Matara,Welipitiya,Wellana,Southern,Matara 1
Southern,Matara,Kamburupitiya,Kahagala South,Southern,Matara 2
Southern,Matara,Welipitiya,Meeruppa,Southern,Matara 1
Southern,Matara,Thihagoda,Elambathalagoda,Southern,Matara 1
Southern,Matara,Dickwella,Dickwella North,Southern,Matara 2
Southern,Matara,Thihagoda,Palatuwa,Southern,Matara 2
Southern,Matara,Weligama,Moodugamuwa West,Southern,Matara 2
Southern,Matara,Malimbada,Sulthanagoda West,Southern,Matara 1
Southern,Matara,Welipitiya,Denipitiya Central,Southern,Matara 1
Southern,Matara,Athuraliya,Urumutta,Southern,Matara 1
Southern,Matara,Pitabeddara,Puwakbadovita,Southern,Matara 2
Southern,Matara,Mulatiyana,Neralampitiya,Southern,Matara 2
Southern,Matara,Mulatiyana,Galetumba,Southern,Matara 1
Southern,Matara,Akuressa,Diganahena,Southern,Matara 1
Southern,Matara,Mulatiyana,Athapattukanda,Southern,Matara 1
Southern,Matara,Akuressa,Maramba North,Southern,Matara 1
Southern,Matara,Hakmana,Kohuliyadda,Southern,Matara 1
Southern,Matara,Hakmana,Kandegoda,Southern,Matara 1
Southern,Matara,Kamburupitiya,Beragammulla,Southern,Matara 1
Southern,Matara,Kamburupitiya,Eriyathota,Southern,Matara 2
Southern,Matara,Athuraliya,Vilpita East 11,Southern,Matara 1
Southern,Matara,Kamburupitiya,Gathara North,Southern,Matara 1
Southern,Matara,Athuraliya,Thibbotuwawa,Southern,Matara 2
Southern,Matara,Kirinda Puhulwella,Kirinda Mangin Ihala South,Southern,Matara 1
Southern,Matara,Thihagoda,Batuvita 1,Southern,Matara 2
Southern,Matara,Malimbada,Horagoda South,Southern,Matara 2
Southern,Matara,Thihagoda,Batuvita 2,Southern,Matara 2
Southern,Matara,Malimbada,Weladagoda,Southern,Matara 2
Southern,Matara,Kamburupitiya,Urapola West,Southern,Matara 2
Southern,Matara,Matara Four Gravets,Deeyagaha West,Southern,Matara 2
Southern,Matara,Dickwella,Wehella North,Southern,Matara 2
Southern,Matara,Matara Four Gravets,Kekanadura North,Southern,Matara 1
Southern,Matara,Matara Four Gravets,Kekanadura East,Southern,Matara 2
Southern,Matara,Devinuwara,Pathegama East,Southern,Matara 2
Southern,Matara,Welipitiya,Warakapitiya South,Southern,Matara 2
Southern,Matara,Akuressa,Dediyagala,Southern,Matara 2
Southern,Matara,Mulatiyana,Diddenipotha North,Southern,Matara 1
Southern,Matara,Mulatiyana,Ketiyape South,Southern,Matara 1
Southern,Matara,Mulatiyana,Parapamulla East,Southern,Matara 1
Southern,Matara,Mulatiyana,Beragama West,Southern,Matara 2
Southern,Matara,Akuressa,Udupitiya,Southern,Matara 2
Southern,Matara,Athuraliya,Divithura,Southern,Matara 2
Southern,Matara,Hakmana,Muruthamuraya,Southern,Matara 1
Southern,Matara,Kamburupitiya,Gathara West,Southern,Matara 2
Southern,Matara,Hakmana,Ellewela West,Southern,Matara 2
Southern,Matara,Athuraliya,Balakawala,Southern,Matara 1
Southern,Matara,Hakmana,Narawelpita South,Southern,Matara 1
Southern,Matara,Akuressa,Yakabwdda,Southern,Matara 1
Southern,Matara,Athuraliya,Namburukanda,Southern,Matara 2
Southern,Matara,Malimbada,Kadukanna,Southern,Matara 1
Southern,Matara,Kamburupitiya,Palolpitiya,Southern,Matara 2
Southern,Matara,Thihagoda,Yatiyana,Southern,Matara 2
Southern,Matara,Kamburupitiya,Urapola East,Southern,Matara 1
Southern,Matara,Thihagoda,Medauyangoda,Southern,Matara 2
Southern,Matara,Kirinda Puhulwella,Walakanda West,Southern,Matara 2
Southern,Matara,Welipitiya,Denipitiya West,Southern,Matara 2
Southern,Matara,Welipitiya,Kapuwatta,Southern,Matara 1
Southern,Matara,Thihagoda,Unella,Southern,Matara 1
Southern,Matara,Welipitiya,Maduragoda,Southern,Matara 2
Southern,Matara,Thihagoda,Nadugala 2,Southern,Matara 1
Southern,Matara,Matara Four Gravets,Kokawala,Southern,Matara 2
Southern,Matara,Thihagoda,Nadugala 1,Southern,Matara 1
Southern,Matara,Welipitiya,Warakapitiya East,Southern,Matara 1
Southern,Matara,Thihagoda,Dematahettigoda,Southern,Matara 2
Southern,Matara,Athuraliya,Dematapassa,Southern,Matara 1
Southern,Matara,Akuressa,Lenama South,Southern,Matara 2
Southern,Matara,Mulatiyana,Parapamulla West,Southern,Matara 2
Southern,Matara,Akuressa,Peddapitiya North,Southern,Matara 2
Southern,Matara,Mulatiyana,Deiyandara,Southern,Matara 2
Southern,Matara,Mulatiyana,Diddenipotha South,Southern,Matara 1
Southern,Matara,Kamburupitiya,Gathara East,Southern,Matara 1
Southern,Matara,Athuraliya,Yahamulla,Southern,Matara 1
Southern,Matara,Kamburupitiya,Ganegama,Southern,Matara 1
Southern,Matara,Hakmana,Kebiliyapola South,Southern,Matara 1
Southern,Matara,Hakmana,Muruthamuraya East,Southern,Matara 2
Southern,Matara,Kamburupitiya,Narandeniya East,Southern,Matara 2
Southern,Matara,Hakmana,Wepathaira South,Southern,Matara 2
Southern,Matara,Thihagoda,Pahala Vitiyala Central,Southern,Matara 2
Southern,Matara,Thihagoda,Narangala,Southern,Matara 2
Southern,Matara,Kirinda Puhulwella,Wathukolakanda North,Southern,Matara 2
Southern,Matara,Malimbada,Uninduwela,Southern,Matara 1
Southern,Matara,Malimbada,Nape,Southern,Matara 2
Southern,Matara,Thihagoda,Polathugoda,Southern,Matara 1
Southern,Matara,Kirinda Puhulwella,Wathukolakanda East,Southern,Matara 1
Southern,Matara,Dickwella,Dodampahala East,Southern,Matara 1
Southern,Matara,Dickwella,Walasgala West,Southern,Matara 2
Southern,Matara,Weligama,Aluth Weediya,Southern,Matara 1
Southern,Matara,Weligama,Walana,Southern,Matara 2
Southern,Matara,Dickwella,Wevurukannala,Southern,Matara 1
Southern,Matara,Weligama,Kohunugamuwa,Southern,Matara 2
Southern,Matara,Athuraliya,Urumutta South,Southern,Matara 1
Southern,Matara,Mulatiyana,Maduwala,Southern,Matara 1
Southern,Matara,Akuressa,Weliketiya,Southern,Matara 2
Southern,Matara,Mulatiyana,Parapamulla South,Southern,Matara 2
Southern,Matara,Mulatiyana,Beragama South,Southern,Matara 2
Southern,Matara,Mulatiyana,Seenipella West,Southern,Matara 2
Southern,Matara,Akuressa,Idikakudeniya,Southern,Matara 2
Southern,Matara,Kamburupitiya,Narandeniya West,Southern,Matara 1
Southern,Matara,Akuressa,Paraduwa North,Southern,Matara 2
Southern,Matara,Hakmana,Muruthamuraya West,Southern,Matara 1
Southern,Matara,Hakmana,Beruwewela,Southern,Matara 1
Southern,Matara,Hakmana,Gangodagama,Southern,Matara 2
Southern,Matara,Hakmana,Narawelpita West,Southern,Matara 1
Southern,Matara,Malimbada,Thelijjavila,Southern,Matara 2
Southern,Matara,Malimbada,Katuwangoda,Southern,Matara 1
Southern,Matara,Thihagoda,Pahala Vitiyala East,Southern,Matara 1
Southern,Matara,Welipitiya,Bathalahena,Southern,Matara 2
Southern,Matara,Thihagoda,Komangoda 1,Southern,Matara 1
Southern,Matara,Welipitiya,Kokmaduwa North,Southern,Matara 1
Southern,Matara,Dickwella,Rathmale,Southern,Matara 1
Southern,Matara,Matara Four Gravets,Parawahera North,Southern,Matara 2
Southern,Matara,Dickwella,Wattegama,Southern,Matara 1
Southern,Matara,Dickwella,Wattegama North,Southern,Matara 1
Southern,Matara,Malimbada,Sulthanagoda South,Southern,Matara 1
Southern,Matara,Matara Four Gravets,Eduwa - Madurudoowa,Southern,Matara 1
Southern,Matara,Mulatiyana,Dewalegama East,Southern,Matara 2
Southern,Matara,Akuressa,Ehelape,Southern,Matara 2
Southern,Matara,Mulatiyana,Diddenipotha East,Southern,Matara 1
Southern,Matara,Akuressa,Vilagama,Southern,Matara 1
Southern,Matara,Athuraliya,Welihena,Southern,Matara 2
Southern,Matara,Mulatiyana,Dewalegama West,Southern,Matara 2
Southern,Matara,Kamburupitiya,Karaputugala North,Southern,Matara 2
Southern,Matara,Kamburupitiya,Lenabatuwa,Southern,Matara 2
Southern,Matara,Athuraliya,Ihala Athuraliya,Southern,Matara 1
Southern,Matara,Kamburupitiya,Sapugoda,Southern,Matara 1
Southern,Matara,Hakmana,Pottewela,Southern,Matara 1
Southern,Matara,Hakmana,Gammedapitiya,Southern,Matara 2
Southern,Matara,Akuressa,Melewwa,Southern,Matara 2
Southern,Matara,Devinuwara,Walbulugahahena,Southern,Matara 1
Southern,Matara,Thihagoda,Wellethota,Southern,Matara 1
Southern,Matara,Welipitiya,Udukawa North,Southern,Matara 1
Southern,Matara,Malimbada,Kirimetimulla North,Southern,Matara 1
Southern,Matara,Kirinda Puhulwella,Walakanda South,Southern,Matara 1
Southern,Matara,Thihagoda,Komangoda 2,Southern,Matara 2
Southern,Matara,Dickwella,Bodarakanda,Southern,Matara 1
Southern,Matara,Dickwella,Bambarenda North,Southern,Matara 1
Southern,Matara,Matara Four Gravets,Kekanadura Central,Southern,Matara 2
Southern,Matara,Dickwella,Dodampahala North,Southern,Matara 2
Southern,Matara,Weligama,Hetti  Weediya,Southern,Matara 2
Southern,Matara,Matara Four Gravets,Godagama,Southern,Matara 1
Southern,Matara,Dickwella,Bambarenda Central,Southern,Matara 2
Southern,Matara,Mulatiyana,Seenipella East,Southern,Matara 2
Southern,Matara,Mulatiyana,Beragama East,Southern,Matara 1
Southern,Matara,Athuraliya,Thalahagama West,Southern,Matara 2
Southern,Matara,Mulatiyana,Radawela West,Southern,Matara 1
Southern,Matara,Athuraliya,Thalahagama East,Southern,Matara 2
Southern,Matara,Mulatiyana,Makandura West,Southern,Matara 2
Southern,Matara,Kamburupitiya,Malana,Southern,Matara 1
Southern,Matara,Hakmana,Kongala West,Southern,Matara 1
Southern,Matara,Kamburupitiya,Magamure,Southern,Matara 2
Southern,Matara,Athuraliya,Athuraliya East,Southern,Matara 2
Southern,Matara,Kamburupitiya,Thumbe,Southern,Matara 1
Southern,Matara,Hakmana,Kongala East,Southern,Matara 2
Southern,Matara,Hakmana,Kongala Central,Southern,Matara 2
Southern,Matara,Dickwella,Urugamuwa North,Southern,Matara 1
Southern,Matara,Welipitiya,Hallala,Southern,Matara 2
Southern,Matara,Welipitiya,Udukawa South,Southern,Matara 1
Southern,Matara,Thihagoda,Kithalagama Central,Southern,Matara 1
Southern,Matara,Devinuwara,Kadawedduwa West,Southern,Matara 1
Southern,Matara,Thihagoda,Kithalagama East 3,Southern,Matara 2
Southern,Matara,Matara Four Gravets,Parawahara East,Southern,Matara 2
Southern,Matara,Weligama,Galbokka West,Southern,Matara 1
Southern,Matara,Weligama,Nidangala,Southern,Matara 2
Southern,Matara,Weligama,Kotavila West,Southern,Matara 2
Southern,Matara,Devinuwara,Pathegama North,Southern,Matara 1
Southern,Matara,Welipitiya,Denipitiya East,Southern,Matara 2
Southern,Matara,Weligama,Galbokka East,Southern,Matara 2
Southern,Matara,Matara Four Gravets,Hittatiya East,Southern,Matara 1
Southern,Matara,Mulatiyana,Belpamulla,Southern,Matara 2
Southern,Matara,Mulatiyana,Makandura East,Southern,Matara 1
Southern,Matara,Akuressa,Peddapitiya South,Southern,Matara 2
Southern,Matara,Akuressa,Minipogoda,Southern,Matara 1
Southern,Matara,Akuressa,Ellewela,Southern,Matara 1
Southern,Matara,Akuressa,Nawalagoda,Southern,Matara 1
Southern,Matara,Kamburupitiya,Kamburupitiya,Southern,Matara 1
Southern,Matara,Hakmana,Udupeellegoda East,Southern,Matara 2
Southern,Matara,Kamburupitiya,Karaputugala South,Southern,Matara 1
Southern,Matara,Hakmana,Udupeellegoda West,Southern,Matara 2
Southern,Matara,Hakmana,Lalpe,Southern,Matara 2
Southern,Matara,Hakmana,Kongala South,Southern,Matara 1
Southern,Matara,Devinuwara,Kadawedduwa East,Southern,Matara 1
Southern,Matara,Devinuwara,Aparekka North,Southern,Matara 1
Southern,Matara,Thihagoda,Kottawatta,Southern,Matara 2
Southern,Matara,Dickwella,Urugamuwa East,Southern,Matara 2
Southern,Matara,Welipitiya,Padili Kokmaduwa,Southern,Matara 1
Southern,Matara,Malimbada,Malimbeda West,Southern,Matara 2
Southern,Matara,Malimbada,Akurugoda North,Southern,Matara 1
Southern,Matara,Weligama,Midigama West,Southern,Matara 1
Southern,Matara,Matara Four Gravets,Hittatiya Meda,Southern,Matara 2
Southern,Matara,Weligama,Kotavila North,Southern,Matara 1
Southern,Matara,Dickwella,Dickwella Mislim Yonakapura East,Southern,Matara 2
Southern,Matara,Weligama,Pelena West,Southern,Matara 2
Southern,Matara,Dickwella,Dodampahala West,Southern,Matara 2
Southern,Matara,Weligama,Paranakade,Southern,Matara 2
Southern,Matara,Akuressa,Ketanvila,Southern,Matara 1
Southern,Matara,Athuraliya,Wenagama,Southern,Matara 1
Southern,Matara,Akuressa,Ihala Maliduwa,Southern,Matara 2
Southern,Matara,Mulatiyana,Kithsiripura,Southern,Matara 1
Southern,Matara,Athuraliya,Hawpe,Southern,Matara 2
Southern,Matara,Akuressa,Maramba South,Southern,Matara 1
Southern,Matara,Mulatiyana,Bamunugama West,Southern,Matara 1
Southern,Matara,Kamburupitiya,Godawa,Southern,Matara 1
Southern,Matara,Akuressa,Paraduwa South,Southern,Matara 1
Southern,Matara,Kamburupitiya,Bibulewela,Southern,Matara 2
Southern,Matara,Athuraliya,Athuraliya West,Southern,Matara 2
Southern,Matara,Kirinda Puhulwella,Ovitigamuwa South,Southern,Matara 1
Southern,Matara,Kamburupitiya,Ullala East,Southern,Matara 2
Southern,Matara,Kirinda Puhulwella,Galkanda,Southern,Matara 2
Southern,Matara,Thihagoda,Thihagoda East,Southern,Matara 1
Southern,Matara,Malimbada,Malimbada North,Southern,Matara 2
Southern,Matara,Malimbada,Kirimetimulla South,Southern,Matara 2
Southern,Matara,Malimbada,Akurugoda East,Southern,Matara 1
Southern,Matara,Thihagoda,Thihagoda,Southern,Matara 2
Southern,Matara,Welipitiya,Beraleliya,Southern,Matara 2
Southern,Matara,Dickwella,Dickwella Central,Southern,Matara 2
Southern,Matara,Matara Four Gravets,Pahalagoda,Southern,Matara 2
Southern,Matara,Weligama,Pitidoowa,Southern,Matara 2
Southern,Matara,Matara Four Gravets,Navimana South,Southern,Matara 1
Southern,Matara,Matara Four Gravets,Parawahera South,Southern,Matara 2
Southern,Matara,Dickwella,Bathigama West,Southern,Matara 1
Southern,Matara,Dickwella,Pohosathugoda,Southern,Matara 1
Southern,Matara,Akuressa,Ganhella,Southern,Matara 1
Southern,Matara,Mulatiyana,Ransegoda North,Southern,Matara 1
Southern,Matara,Mulatiyana,Radawela East,Southern,Matara 2
Southern,Matara,Mulatiyana,Batadola,Southern,Matara 1
Southern,Matara,Hakmana,Denagama East,Southern,Matara 2
Southern,Matara,Mulatiyana,Ransegoda East,Southern,Matara 2
Southern,Matara,Athuraliya,Pahala Athuraliya,Southern,Matara 1
Southern,Matara,Akuressa,Henegama,Southern,Matara 2
Southern,Matara,Kirinda Puhulwella,Naradda,Southern,Matara 2
Southern,Matara,Akuressa,Paraduwa  East,Southern,Matara 2
Southern,Matara,Kirinda Puhulwella,Ovitigamuwa North,Southern,Matara 2
Southern,Matara,Akuressa,Henegama West,Southern,Matara 2
Southern,Matara,Thihagoda,Kithalagama East 2,Southern,Matara 2
Southern,Matara,Thihagoda,Kithalagama West,Southern,Matara 1
Southern,Matara,Thihagoda,Kithalagama East 1,Southern,Matara 2
Southern,Matara,Dickwella,Urugamuwa West,Southern,Matara 1
Southern,Matara,Thihagoda,Attudawa,Southern,Matara 1
Southern,Matara,Devinuwara,Uda Aparekka,Southern,Matara 2
Central,Matale,Pallepola,Rusigama Pahalagama,Central,Matale
Central,Matale,Pallepola,Kinigama,Central,Matale
Central,Matale,Pallepola,Moragaspitiya,Central,Matale
Central,Matale,Pallepola,Ekamuthugama,Central,Matale
Central,Matale,Pallepola,Pallepola North,Central,Matale
Central,Matale,Pallepola,Maningamuwa East,Central,Matale
Central,Matale,Pallepola,Ambokudena,Central,Matale
Southern,Matara,Pasgoda,Ginnaliya North,Southern,Matara 2
Southern,Matara,Pasgoda,Ketawala,Southern,Matara 2
Southern,Matara,Pasgoda,Kekundeniya,Southern,Matara 2
Southern,Matara,Kotapola,Kalugalahena,Southern,Matara 2
Southern,Matara,Kotapola,Adaradeniya,Southern,Matara 1
Southern,Matara,Kotapola,Viharahena,Southern,Matara 1
Southern,Matara,Kotapola,Kandilpana,Southern,Matara 1
Southern,Matara,Kotapola,Kiriweldola,Southern,Matara 2
Southern,Matara,Kotapola,Keeriwalagama,Southern,Matara 2
Southern,Matara,Kotapola,Mederipitiya,Southern,Matara 2
Central,Matale,Dambulla,Haluapullana Wewa,Central,Matale
Central,Matale,Dambulla,Dambulugama,Central,Matale
Central,Matale,Dambulla,Dambulla Town,Central,Matale
Central,Matale,Dambulla,Yapagama,Central,Matale
Central,Matale,Matale,Nagolla,Central,Matale
Central,Matale,Matale,Kotuwegedara South,Central,Matale
Central,Matale,Matale,Maligathenna,Central,Matale
Central,Matale,Matale,Kotuwegedara North,Central,Matale
Central,Matale,Matale,Puwakpitiya,Central,Matale
Central,Matale,Matale,Palapathwala,Central,Matale
Central,Matale,Matale,Dunkalawatta,Central,Matale
Central,Matale,Matale,Owala Polwatta,Central,Matale
Central,Matale,Pallepola,Mahayayawatta,Central,Matale
Central,Matale,Pallepola,Akuramboda,Central,Matale
Central,Matale,Pallepola,Medalanda,Central,Matale
Central,Matale,Pallepola,Nagahapola,Central,Matale
Central,Matale,Pallepola,Kosgolla,Central,Matale
Central,Matale,Pallepola,Demada Oya,Central,Matale
Central,Matale,Pallepola,Mananwatta,Central,Matale
Central,Matale,Pallepola,Janakagama,Central,Matale
Central,Matale,Pallepola,Millawana Pahalagama,Central,Matale
Central,Matale,Pallepola,Bomeruwa,Central,Matale
Southern,Matara,Kotapola,Poddana,Southern,Matara 1
Southern,Matara,Kotapola,Kolawenigama,Southern,Matara 1
Southern,Matara,Kotapola,Beliattakumbura,Southern,Matara 1
Southern,Matara,Kotapola,Morawaka,Southern,Matara 2
Southern,Matara,Pitabeddara,Kodikaragoda East,Southern,Matara 1
Central,Matale,Dambulla,Rathmalgaha Ela,Central,Matale
Central,Matale,Dambulla,Yakkuragala South,Central,Matale
Central,Matale,Dambulla,Pahala Wewa,Central,Matale
Central,Matale,Dambulla,Athuparayaya,Central,Matale
Central,Matale,Dambulla,Pallegama,Central,Matale
Central,Matale,Dambulla,Bulagala,Central,Matale
Central,Matale,Dambulla,Pelvehera,Central,Matale
Central,Matale,Dambulla,Rathmalkatuwa,Central,Matale
Central,Matale,Dambulla,Bellanneoya,Central,Matale
Central,Matale,Matale,Dorakumbura,Central,Matale
Central,Matale,Matale,Mandandawela,Central,Matale
Central,Matale,Matale,Parawatta,Central,Matale
Central,Matale,Matale,Malwatta,Central,Matale
Central,Matale,Matale,Vihara Road,Central,Matale
Central,Matale,Laggala-Pallegama,Maoya,Central,Matale
Central,Matale,Laggala-Pallegama,Dewaladeniya,Central,Matale
Central,Matale,Laggala-Pallegama,Hattota Amuna,Central,Matale
Central,Matale,Laggala-Pallegama,Rathninda,Central,Matale
Central,Matale,Laggala-Pallegama,Lakegala,Central,Matale
Central,Matale,Pallepola,Millawana Medagama,Central,Matale
Central,Matale,Pallepola,Maningamuwa West,Central,Matale
Central,Matale,Pallepola,Kirioruwa,Central,Matale
Central,Matale,Pallepola,Kandewatta,Central,Matale
Central,Matale,Pallepola,Ambokka,Central,Matale
Central,Matale,Pallepola,Dewarammulla,Central,Matale
Southern,Matara,Pitabeddara,Alapaladeya North,Southern,Matara 2
Southern,Matara,Pitabeddara,Edandukitha East,Southern,Matara 1
Southern,Matara,Pitabeddara,Dangala East,Southern,Matara 1
Southern,Matara,Pitabeddara,Dangala West,Southern,Matara 1
Southern,Matara,Pitabeddara,Galabada,Southern,Matara 2
Southern,Matara,Pitabeddara,Banagala East,Southern,Matara 1
Southern,Matara,Matara Four Gravets,Veherahena,Southern,Matara 2
Central,Matale,Dambulla,Welangolla,Central,Matale
Central,Matale,Dambulla,Wewala Wewa,Central,Matale
Central,Matale,Dambulla,Pahala Erevula,Central,Matale
Central,Matale,Dambulla,Ihala Ereula,Central,Matale
Central,Matale,Dambulla,Pol Attawa,Central,Matale
Central,Matale,Dambulla,Thalkote,Central,Matale
Central,Matale,Dambulla,Sigiriya,Central,Matale
Central,Matale,Dambulla,Mailattawa,Central,Matale
Central,Matale,Laggala-Pallegama,Narangamuwa,Central,Matale
Central,Matale,Laggala-Pallegama,Morathenna,Central,Matale
Central,Matale,Laggala-Pallegama,Dasgiriya,Central,Matale
Central,Matale,Laggala-Pallegama,Galgedawala,Central,Matale
Central,Matale,Laggala-Pallegama,Wellewala,Central,Matale
Central,Matale,Laggala-Pallegama,Weliwaranagolla,Central,Matale
Central,Matale,Pallepola,Ehelepola,Central,Matale
Central,Matale,Pallepola,Walmoruwa,Central,Matale
Central,Matale,Pallepola,Monaravila,Central,Matale
Central,Matale,Pallepola,Koswatta,Central,Matale
Central,Matale,Pallepola,Pallepola South,Central,Matale
Central,Matale,Galewela,Bulanawewa,Central,Matale
Southern,Matara,Thihagoda,Uduwa West,Southern,Matara 2
Southern,Matara,Weligama,Midigama East,Southern,Matara 2
Southern,Matara,Dickwella,Wehella South,Southern,Matara 1
Southern,Matara,Dickwella,Bathigama Central,Southern,Matara 1
Southern,Matara,Weligama,Pelena North,Southern,Matara 2
Southern,Matara,Weligama,Pelena South,Southern,Matara 2
Central,Matale,Dambulla,Avudangawa,Central,Matale
Central,Matale,Dambulla,Siyambala Wewa,Central,Matale
Central,Matale,Dambulla,Inamaluwa,Central,Matale
Central,Matale,Dambulla,Digampathaha,Central,Matale
Central,Matale,Dambulla,Nagalawewa,Central,Matale
Central,Matale,Dambulla,Egodawewa,Central,Matale
Central,Matale,Dambulla,Pothana,Central,Matale
Central,Matale,Laggala-Pallegama,Leloya,Central,Matale
Central,Matale,Laggala-Pallegama,Halminiya,Central,Matale
Central,Matale,Laggala-Pallegama,Ranamuregama,Central,Matale
Central,Matale,Laggala-Pallegama,Kivulewadiya,Central,Matale
Central,Matale,Laggala-Pallegama,Laggala Pallegama,Central,Matale
Central,Matale,Laggala-Pallegama,Atharahediya,Central,Matale
Central,Matale,Laggala-Pallegama,Rawanagama,Central,Matale
Central,Matale,Laggala-Pallegama,Miniranketiya,Central,Matale
Central,Matale,Galewela,Pibidunugama,Central,Matale
Central,Matale,Galewela,Pattiwela,Central,Matale
Central,Matale,Galewela,Galapamula,Central,Matale
Central,Matale,Galewela,Divulgaskotuwa,Central,Matale
Central,Matale,Galewela,Pahala Bambawa,Central,Matale
Central,Matale,Galewela,Pihillayaya,Central,Matale
Central,Matale,Galewela,Siyambalagahawela,Central,Matale
Central,Matale,Yatawatta,Selagama East,Central,Matale
Central,Matale,Yatawatta,Thambilideniya South,Central,Matale
Central,Matale,Yatawatta,Kavudupelella,Central,Matale
Central,Matale,Yatawatta,Mahawela,Central,Matale
Central,Matale,Yatawatta,Delgolla,Central,Matale
Central,Matale,Yatawatta,Matale North,Central,Matale
Central,Matale,Dambulla,Kimbissa,Central,Matale
Central,Matale,Dambulla,Kalundewa Paranagama,Central,Matale
Central,Matale,Dambulla,Kandalama,Central,Matale
Central,Matale,Dambulla,Nikawatawana,Central,Matale
Central,Matale,Dambulla,Welihena,Central,Matale
Central,Matale,Dambulla,Etawarahena,Central,Matale
Central,Matale,Dambulla,Vilhatha,Central,Matale
Central,Matale,Laggala-Pallegama,Guruwela,Central,Matale
Central,Matale,Laggala-Pallegama,Meda Ela,Central,Matale
Central,Matale,Laggala-Pallegama,Karandamulla,Central,Matale
Central,Matale,Laggala-Pallegama,Mahalakotuwa,Central,Matale
Central,Matale,Laggala-Pallegama,Divulgas Pathana,Central,Matale
Central,Matale,Laggala-Pallegama,Pitawala,Central,Matale
Central,Matale,Laggala-Pallegama,Pottatawela,Central,Matale
Central,Matale,Laggala-Pallegama,Dammanthenna,Central,Matale
Central,Matale,Laggala-Pallegama,Kaluganga,Central,Matale
Central,Matale,Laggala-Pallegama,Kandepitawela,Central,Matale
Central,Matale,Laggala-Pallegama,Gangalapuwakpitiya,Central,Matale
Central,Matale,Laggala-Pallegama,Imaduwa,Central,Matale
Central,Matale,Laggala-Pallegama,Gonawala,Central,Matale
Central,Matale,Galewela,Kosgahahinna,Central,Matale
Central,Matale,Galewela,Kumbukgolla,Central,Matale
Central,Matale,Galewela,Meewalapathaha,Central,Matale
Central,Matale,Galewela,Ibbankatuwa,Central,Matale
Central,Matale,Galewela,Silwathgama,Central,Matale
Central,Matale,Galewela,Yatigalpotta,Central,Matale
Central,Matale,Yatawatta,Wattegedara,Central,Matale
Central,Matale,Yatawatta,Galaliyadda,Central,Matale
Central,Matale,Yatawatta,Deevilla North,Central,Matale
Central,Matale,Yatawatta,Muruthawatta,Central,Matale
Central,Matale,Yatawatta,Mahawela West,Central,Matale
Central,Matale,Yatawatta,Selagama,Central,Matale
Central,Matale,Yatawatta,Udagama,Central,Matale
Central,Matale,Yatawatta,Udagama West,Central,Matale
Central,Matale,Yatawatta,Nikagolla,Central,Matale
Central,Matale,Dambulla,Yakkuragala North,Central,Matale
Central,Matale,Dambulla,Kumbukkandanwala,Central,Matale
Central,Matale,Dambulla,Palutawa,Central,Matale
Central,Matale,Wilgamuwa,Sulugune,Central,Matale
Central,Matale,Wilgamuwa,Uduwelwala,Central,Matale
Central,Matale,Wilgamuwa,Sonutta,Central,Matale
Central,Matale,Laggala-Pallegama,Rambukoluwa,Central,Matale
Central,Matale,Laggala-Pallegama,Ganga Henawala,Central,Matale
Central,Matale,Laggala-Pallegama,Ilukkumbura,Central,Matale
Central,Matale,Laggala-Pallegama,Kahagala,Central,Matale
Central,Matale,Naula,Galboda,Central,Matale
Central,Matale,Naula,Opalgala,Central,Matale
Southern,Matara,Devinuwara,Thalalla Central,Southern,Matara 1
Southern,Matara,Matara Four Gravets,Kadeweediya West,Southern,Matara 2
Southern,Matara,Dickwella,Suduwella,Southern,Matara 2
Southern,Matara,Matara Four Gravets,Welegoda East,Southern,Matara 1
Southern,Matara,Matara Four Gravets,Walgama,Southern,Matara 2
Southern,Matara,Weligama,Thudella,Southern,Matara 1
Southern,Matara,Matara Four Gravets,Welegoda West,Southern,Matara 1
Southern,Matara,Matara Four Gravets,Noope,Southern,Matara 2
Southern,Matara,Devinuwara,Kapugama West,Southern,Matara 1
Southern,Matara,Matara Four Gravets,Meddawatta,Southern,Matara 1
Central,Matale,Yatawatta,Nikagolla North,Central,Matale
Central,Matale,Yatawatta,Urulewatta,Central,Matale
Central,Matale,Yatawatta,Walpola,Central,Matale
Central,Matale,Yatawatta,Mediyapola,Central,Matale
Central,Matale,Yatawatta,Dangan Place,Central,Matale
Central,Matale,Yatawatta,Aluthwatta,Central,Matale
Central,Matale,Yatawatta,Alokagama,Central,Matale
Central,Matale,Wilgamuwa,Nagolla,Central,Matale
Central,Matale,Wilgamuwa,Moragaha Ulpatha,Central,Matale
Central,Matale,Wilgamuwa,Bathgampala,Central,Matale
Central,Matale,Wilgamuwa,80 Yaya,Central,Matale
Central,Matale,Wilgamuwa,Wanarawa,Central,Matale
Central,Matale,Wilgamuwa,Perakanatta,Central,Matale
